Date;Open;High;Low;Close;Adj Close;Volume
28/10/2022;11.176.990.234;11.563.160.156;11.176.990.234;11.546.209.961;11.546.209.961;4731940000
31/10/2022;11.465.209.961;11.482.990.234;11.331.259.766;11.405.570.313;11.405.570.313;4753740000
01/11/2022;11.571.530.273;11.574.389.648;11.278.280.273;11.288.950.195;11.288.950.195;4677520000
02/11/2022;11.300.269.531;11.410.910.156;10.903.480.469;10.906.339.844;10.906.339.844;5436420000
03/11/2022;10.769.429.688;10.852.179.688;10.680.830.078;10.690.599.609;10.690.599.609;5102190000
04/11/2022;10.911.980.469;10.934.620.117;10.632.389.648;10.857.030.273;10.857.030.273;5453750000
07/11/2022;10.900.830.078;11.001.160.156;10.817.589.844;10.977.000.000;10.977.000.000;4456690000
08/11/2022;11.039.580.078;11.191.900.391;10.897.530.273;11.059.500.000;11.059.500.000;5134500000
09/11/2022;10.971.429.688;11.012.660.156;10.790.349.609;10.797.549.805;10.797.549.805;4977460000
10/11/2022;11.350.419.922;11.612.200.195;11.235.740.234;11.605.959.961;11.605.959.961;6433000000
11/11/2022;11.604.360.352;11.840.070.313;11.535.559.570;11.817.009.766;11.817.009.766;5867750000
14/11/2022;11.728.110.352;11.863.820.313;11.669.099.609;11.700.940.430;11.700.940.430;5004060000
15/11/2022;12.006.450.195;12.024.950.195;11.735.400.391;11.871.150.391;11.871.150.391;5617310000
16/11/2022;11.767.419.922;11.796.990.234;11.673.139.648;11.699.089.844;11.699.089.844;4585190000
17/11/2022;11.521.639.648;11.737.610.352;11.519.379.883;11.676.860.352;11.676.860.352;4354360000
18/11/2022;11.791.849.609;11.794.679.688;11.579.639.648;11.677.019.531;11.677.019.531;4175420000
21/11/2022;11.623.349.609;11.664.940.430;11.524.440.430;11.553.450.195;11.553.450.195;3977130000
22/11/2022;11.590.830.078;11.731.759.766;11.503.339.844;11.724.839.844;11.724.839.844;4186360000
23/11/2022;11.725.080.078;11.866.419.922;11.722.009.766;11.838.719.727;11.838.719.727;4431530000
25/11/2022;11.777.330.078;11.803.910.156;11.748.790.039;11.756.030.273;11.756.030.273;2184080000
28/11/2022;11.684.070.313;11.764.830.078;11.555.259.766;11.587.750.000;11.587.750.000;4271360000
29/11/2022;11.590.299.805;11.613.330.078;11.450.339.844;11.503.450.195;11.503.450.195;4592830000
30/11/2022;11.505.740.234;12.031.339.844;11.481.889.648;12.030.059.570;12.030.059.570;6653460000
01/12/2022;12.030.240.234;12.115.339.844;11.928.660.156;12.041.889.648;12.041.889.648;5158120000
02/12/2022;11.845.530.273;12.027.620.117;11.825.530.273;11.994.259.766;11.994.259.766;4523010000
05/12/2022;11.899.540.039;11.957.360.352;11.732.150.391;11.786.799.805;11.786.799.805;4510030000
06/12/2022;11.775.200.195;11.790.929.688;11.488.599.609;11.549.690.430;11.549.690.430;4713330000
07/12/2022;11.490.990.234;11.577.690.430;11.431.959.961;11.497.389.648;11.497.389.648;4343860000
08/12/2022;11.543.679.688;11.672.139.648;11.470.679.688;11.637.500.000;11.637.500.000;4281800000
09/12/2022;11.594.379.883;11.707.089.844;11.550.309.570;11.563.330.078;11.563.330.078;4337440000
12/12/2022;11.572.259.766;11.707.709.961;11.529.410.156;11.706.440.430;11.706.440.430;4829990000
13/12/2022;12.141.240.234;12.166.410.156;11.724.900.391;11.834.209.961;11.834.209.961;6126890000
14/12/2022;11.824.540.039;11.941.280.273;11.617.410.156;11.740.919.922;11.740.919.922;5485150000
15/12/2022;11.573.379.883;11.591.330.078;11.300.349.609;11.345.219.727;11.345.219.727;5536070000
16/12/2022;11.313.639.648;11.383.389.648;11.175.540.039;11.243.719.727;11.243.719.727;7968170000
19/12/2022;11.243.000.000;11.251.570.313;11.029.769.531;11.084.589.844;11.084.589.844;4631820000
20/12/2022;11.023.469.727;11.143.620.117;10.967.070.313;11.072.419.922;11.072.419.922;4707190000
21/12/2022;11.110.650.391;11.285.780.273;11.083.360.352;11.235.879.883;11.235.879.883;4401420000
22/12/2022;11.099.360.352;11.114.230.469;10.784.019.531;10.956.139.648;10.956.139.648;5125070000
23/12/2022;10.911.040.039;11.007.089.844;10.830.900.391;10.985.450.195;10.985.450.195;3544680000
27/12/2022;10.944.299.805;10.957.440.430;10.807.610.352;10.822.509.766;10.822.509.766;3827290000
28/12/2022;10.807.120.117;10.898.639.648;10.671.190.430;10.679.339.844;10.679.339.844;3842970000
29/12/2022;10.800.799.805;10.981.059.570;10.776.620.117;10.951.049.805;10.951.049.805;4154100000
30/12/2022;10.835.589.844;10.942.900.391;10.778.639.648;10.939.759.766;10.939.759.766;3959030000
03/01/2023;11.038.419.922;11.093.099.609;10.770.929.688;10.862.639.648;10.862.639.648;4780650000
04/01/2023;10.949.339.844;10.981.459.961;10.785.530.273;10.914.799.805;10.914.799.805;5085380000
05/01/2023;10.837.250.000;10.842.330.078;10.728.259.766;10.741.219.727;10.741.219.727;4764270000
06/01/2023;10.807.459.961;11.082.589.844;10.696.419.922;11.040.349.609;11.040.349.609;5199780000
09/01/2023;11.133.070.313;11.304.839.844;11.085.320.313;11.108.450.195;11.108.450.195;5132190000
10/01/2023;11.069.049.805;11.207.559.570;11.050.679.688;11.205.780.273;11.205.780.273;4710680000
11/01/2023;11.259.160.156;11.403.889.648;11.220.750.000;11.402.519.531;11.402.519.531;5284390000
12/01/2023;11.441.450.195;11.500.860.352;11.246.019.531;11.459.610.352;11.459.610.352;5681240000
13/01/2023;11.362.129.883;11.547.959.961;11.347.599.609;11.541.480.469;11.541.480.469;5077990000
17/01/2023;11.531.540.039;11.615.950.195;11.484.019.531;11.557.190.430;11.557.190.430;5138410000
18/01/2023;11.636.610.352;11.690.269.531;11.403.309.570;11.410.290.039;11.410.290.039;5288630000
19/01/2023;11.345.190.430;11.388.459.961;11.251.940.430;11.295.669.922;11.295.669.922;4660800000
20/01/2023;11.363.849.609;11.623.200.195;11.329.540.039;11.619.030.273;11.619.030.273;5980110000
23/01/2023;11.652.000.000;11.918.860.352;11.617.830.078;11.872.540.039;11.872.540.039;5997810000
24/01/2023;11.802.950.195;11.889.370.117;11.780.070.313;11.846.639.648;11.846.639.648;5670860000
25/01/2023;11.636.009.766;11.841.809.570;11.550.070.313;11.814.690.430;11.814.690.430;5485570000
26/01/2023;11.972.570.313;12.055.809.570;11.853.370.117;12.051.480.469;12.051.480.469;5732890000
27/01/2023;12.000.209.961;12.248.150.391;11.999.870.117;12.166.599.609;12.166.599.609;6243800000
30/01/2023;12.047.160.156;12.087.679.688;11.906.110.352;11.912.389.648;11.912.389.648;5122320000
31/01/2023;11.915.940.430;12.104.129.883;11.915.940.430;12.101.929.688;12.101.929.688;5695150000
01/02/2023;12.087.919.922;12.458.870.117;12.010.730.469;12.363.099.609;12.363.099.609;6336040000
02/02/2023;12.655.179.688;12.880.980.469;12.600.759.766;12.803.139.648;12.803.139.648;7038210000
03/02/2023;12.520.950.195;12.828.709.961;12.520.950.195;12.573.360.352;12.573.360.352;5954490000
06/02/2023;12.468.799.805;12.558.870.117;12.411.879.883;12.464.509.766;12.464.509.766;5538350000
07/02/2023;12.474.950.195;12.771.589.844;12.419.709.961;12.728.269.531;12.728.269.531;5720240000
08/02/2023;12.680.030.273;12.709.450.195;12.471.120.117;12.495.379.883;12.495.379.883;5052870000
09/02/2023;12.677.540.039;12.679.540.039;12.327.440.430;12.381.169.922;12.381.169.922;5536290000
10/02/2023;12.306.589.844;12.375.719.727;12.204.209.961;12.304.919.922;12.304.919.922;4885030000
13/02/2023;12.356.500.000;12.522.780.273;12.313.450.195;12.502.309.570;12.502.309.570;4752880000
14/02/2023;12.413.099.609;12.627.400.391;12.356.320.313;12.590.889.648;12.590.889.648;5032430000
15/02/2023;12.531.599.609;12.689.339.844;12.486.419.922;12.687.889.648;12.687.889.648;5056640000
16/02/2023;12.495.070.313;12.653.400.391;12.440.000.000;12.442.480.469;12.442.480.469;5159410000
17/02/2023;12.352.299.805;12.385.519.531;12.233.790.039;12.358.179.688;12.358.179.688;4925230000
21/02/2023;12.205.209.961;12.257.059.570;12.058.230.469;12.060.299.805;12.060.299.805;5002540000
22/02/2023;12.085.669.922;12.156.209.961;12.006.040.039;12.066.269.531;12.066.269.531;4671270000
23/02/2023;12.224.440.430;12.227.400.391;12.003.309.570;12.180.139.648;12.180.139.648;4714580000
24/02/2023;11.979.799.805;12.018.320.313;11.900.839.844;11.969.650.391;11.969.650.391;4432650000
27/02/2023;12.106.790.039;12.159.639.648;12.034.610.352;12.057.790.039;12.057.790.039;4494000000
28/02/2023;12.041.750.000;12.146.519.531;12.021.320.313;12.042.120.117;12.042.120.117;5340950000
01/03/2023;12.026.719.727;12.054.480.469;11.906.580.078;11.938.570.313;11.938.570.313;4927530000
